Adjektiv	Bedeutung_KO	Bedeutung_EN	Beispiel	Beispiel_Bedeutung
hell	밝은, 맑은	light, bright, clear	Lass uns an einen helleren Ort gehen, wo ich die Verzierungsdetails besser sehen kann.	장식들이 더 잘 보이게 밝은 곳으로 가자.
groß	큰, 성장한	large, big, high, tall, great	Er war ein großer Politiker.	그는 위대한 정치가였다.
klein	작은	small, short, little, tiny	Er ist für sein Alter ziemlich klein.	그는 나이에 비해 꽤 작은 편이다.
kurz	짧은, 단시간의	short, quick	Die Tage werden länger und die Röcke kürzer.	하루가 길어지고 치마는 짧아진다.
lang	긴, 오랜	long	Sie hat sich ihre Haare wieder lang wachsen lassen.	그녀는 다시 머리를 길렀다.
jung	어린, 젊은	young	Manchmal möchte man wieder jung sein.	가끔 사람들은 젊어지고 싶어한다.
alt	늙은, 오래된	old, ancient, stale	Zum Kinderkriegen ist sie schon zu alt.	아이를 낳기엔 그녀는 너무 늙었다.
neu	새로운, 참신한	new, fresh	Er war neu in der Klasse und kannte niemanden.	그는 학급에 새로 들어왔고 아무도 알지 못했다.
schön	아름다운, 예쁜	beautiful, good, nice, pretty, fine	Das hört sich sehr schön an!	아주 좋은 생각이야!
hässlich	못생긴, 추한	ugly	Die Wunde hat eine hässliche Narbe hinterlassen.	그 상처는 보기 안 좋은 흉터를 남겼다.
sympathisch	마음에 드는, 공감의, 동정하는	likeable, pleasant 	Auf mich wirkt Claudia sehr sympathisch.	Claudia는 나에게 매우 호의적이다.
glücklich	행복한, 운좋은	happy, fortunate	Sie war so glücklich, als ich sie in meinen Armen hielt.	내가 안아줬을때 그녀는 매우 행복해했다.
traurig	슬픈, 가여운	sad, blue, sorrowful	Ich habe neulich einen sehr traurigen Film gesehen.	나는 최근에 매우 슬픈 영화를 봤어.
ledig	독신의, 자유로운	single	Noch bin ich ledig, aber Monika und ich planen bald zu heiraten.	여전히 난 독신이지만, Monika와 곧 결혼 할 계획이야.
verheiratet	결혼한, 기혼의	married	Das seit 10 Jahren verheiratete Paar hat keine Kinder.	결혼한지 10년이 된 그 부부는 자녀가 없다.
geschieden	이혼한, 분리된	divorced, separated	Geschieden ist neben ledig, verheiratet und verwitwet einer der vier weltweit üblichen Familienstände.	이혼은 싱글, 결혼 및 사별 말고도 전 세계적으로 보통의 가족상황이다.
rot	붉은, 빨간	red	Bei Rot muß man halten.	빨간불일때는 정지하라.
schwarz	검은, 어두운	black	Sie hatte einst schönes schwarzes Haar.	그녀는 한때 아름다운 검은머리였다.
lila	보라색의	purple, lilac	Meine Buntstifte sind alle lila.	내 색연필은 모두 보라색이다.
weiß	흰, 백색의	white	Der weiße Mann hat Unheil über das Land gebracht.	백인은 그 땅에 재앙을 가져왔다.
blau	푸른, 파란	blue	Sie ist ganz blau angelaufen.	그녀는 새파랗게 질렸다.
braun	갈색의	brown	Du bist ja ganz braun.	너 많이 탔다.
gelb	노란	yellow, amber	Das gelbe Auto gehört mir.	저 노란 자동차는 내거야.
grün	녹색의, 초록의, 서투른	green, verdant	Er mischte grüne und rote Farbe.	그는 녹색과 붉은색을 섞었다.
grau	잿빛의	gray, grey	Er hat graue Augen.	그는 회색빛 눈동자를 가지고 있다.
bunt	다채로운, 알록달록한	colorful, motley	Der Herbst malt die Blätter bunt.	가을은 나뭇잎을 붉게 물들인다.
lustig	웃긴, 즐거운, 활발한	fun, funny, amusing	Der lustige Film heiterte mich auf.	웃긴 영화가 기운을 나게 해줬다.
schrecklich	끔찍한, 싫은, 지독한	terrible, horrible, awful	Dieser schreckliche Tag ist endlich zu Ende.	끔찍한 하루가 드디어 끝났다.
sauer	신, 신맛나는, 불쾌한	sour, acidic	Dieser Wein ist für meinen Geschmack zu sauer.	이 와인은 내 입맛에는 너무 시다.
leise	조용한, 겨우 들을 수 있을 정도의	quiet, silent, soft	Eine leise Bibliothek ist ein guter Ort, um zu lernen.	조용한 도서관은 공부하기 좋은 곳이다.
müde	지친, 피곤한	tired, weary	Ich war müde, also ging ich zu Bett.	난 너무 피곤해서 자러 갔다.
typisch	전형적인, 대표적인, 독특한	typical, characteristic	Das Verstecken der Ostergeschenke ist ein typischer Brauch zu Ostern.	부활절 선물을 숨기는 것은 전형적인 부활절 풍습이다.
wenig	적은, 소수의	little, few	Wir sahen nur wenige Leute.	사람이 별로 없었다.
super	최고의, 멋진	super	Die Party war super und ich habe mich gut unterhalten.	파티 최고였고 즐거운 시간이었어.
weich	부드러운, 연한, 보들보들한	soft, smooth, tender	Ich schlafe gern auf weichen Kissen.	포근한 베개에서 자는걸 좋아한다.
dick	두꺼운, 굵은, 뚱뚱한	thick, fat, big	Das Buch ist sehr dick und schwer.	이책은 매우 두껍고 무겁다.
arbeitslos	무직의	jobless	Ich bin arbeitslos.	나는 실업자다.
einfach	간단한, 수수한	easy, simple, ordinary, humble	Der Plan hört sich einfach und machbar an.	그 계획은 쉽고 할 수 있을것 같아.
frisch	신선한, 상쾌한, 신규의	fresh, crisp	Das Gemüse war frisch und knackig.	이 채소는 싱싱하고 아삭아삭했다.
lecker	맛있는	tasty, delicious	Äpfel sind lecker und außerdem gut für die Gesundheit.	사과는 맛있을 뿐만 아니라 건강에도 좋다
billig	싼, 합리적인	cheap, low	Das Auto habe ich ganz billig erstanden.	나는 이 차를 아주 싸게 구입했다.
scharf	날카로운, 매운	sharp, hot	Die Spitze des Schwerts ist sehr scharf.	검의 끝은 매우 날카롭다.
spät	늦은, 뒤의	late	Wir feierten bis in die späte Nacht.	우린 밤늦게까지 파티를 했다.
salzig	짠, 소금기있는	salty	Sie können zwischen einem salzigen oder einem süßen Gericht wählen.	당신은 짭짤하거나 달달한 요리를 선택할 수 있습니다.
schnell	빠른, 신속한	quick, rapid, fast	Ich vergesse schnell.	나는 금방 까먹는다.
reich	부유한, 풍부한	rich, wealthy	Bill Gates ist ein reicher Mann.	빌게이츠는 부자다.
satt	포식한, 배부른, 만족한	full, replete	Er wird gar nicht satt.	그는 만족할 줄 모른다.
warm	따뜻한	warm, hot	Die Flöte hat eine schöne, warme Klangfarbe.	플루트는 예쁘고 따뜻한 음색을 가지고 있다.
würzig	양념이 든, 좋은 향기가 나는	spicy, aromatic	Ich liebe würzige Saucen.	나는 양념이 된 소스를 좋아한다.
wirklich	실제로, 정말로, 진정한	real	Wie ist sein wirklicher Name?	그의 정확한 이름이 뭔가요?
trocken	마른, 건조한, 무미건조한	dry, arid	Diese Gegend hat ein heißes und trockenes Klima.	이 지역는 덥고 건조한 기후입니다.
vegetarisch	채식주의의	vegetarian	Ich esse meistens vegetarisch aber von Zeit zu Zeit esse ich Fisch.	나는 채식 위주로 먹지만, 때때로 생선도 먹는다.
bitter	쓴,쓰라린, 괴로운	bitter	Der Salat hat einen bitteren Geschmack.	이 샐러드는 쓴맛이 난다.
blöd	멍청한, 저능한	stupid	Es war ein blöder Fehler, es wird nicht wieder vorkommen.	그것은 멍청한 실수였다, 다시는 일어나지 않을 것이다.
fertig	준비가 된, 완성된, 완전한	finished, ready, done	Ich bin mit der Arbeit fertig.	나는 그 일을 끝냈다.
langweilig	지루한, 지겨운	boring, dull	Ich suche eine neue Herausforderung, da meine derzeitige Arbeit ziemlich langweilig ist.	현재의 일이 상당히 지루해서 새로운 도전을 찾고있다.
hart	단단한, 딱딱한	hard, tough	Bergbau ist harte Arbeit.	채굴 작업은 상당히 힘든 일입니다.
kalt	추운, 찬, 냉정한	cold	Im Moment ist es kalt und es liegt Schnee.	지금은 춥고 눈이 내린다.
gemütlich	기분 좋은, 느긋한	comfortable, cosy	Es ist hier sehr gemütlich.	여기는 매우 편안하다.
laut	소리가 큰, 시끄러운	loud, noisy	Dreh bitte mal das Radio lauter!	라디오를 더 크게 틀어줘!
fantastisch	경이적인, 훌륭한, 엄청난	fantastic	Die Qualität des Essens im Restaurant ist fantastisch.	이 음식점의 요리 퀄리티는 엄청나다.
liberal	자유로운, 온건한	liberal	Ich hoffe, dass die Menschen auf der Welt viel liberaler werden.	전세계사람들이 더 자유로웠으면 좋겠다.
ruhig	정적의, 조용한	calm, quiet, peaceful	In meiner Yogaschule herrscht eine ruhige und angenehme Atmosphäre.	요가학원에는 조용하고 기분좋은 분위기가 감돈다.
nackt	벌거벗은, 나체의, 삭막한	naked, stark, nude	In dem Brunnen war die Statue einer nackten Frau.	분수대에는 나체의 여인상이 있었다.
sauber	깨끗한, 정확한, 깔끔한	clean	Ich versuche, meine Schürze beim Kochen sauber zu halten.	나는 요리하는 동안 앞치마를 깨끗하게 유지하려 노력한다.
pünktlich	정확한, 시간을 엄수하는, 정시의	on time, punctual	Alle waren pünktlich, niemand kam zu spät.	모두 시간을 엄수했고, 아무도 늦지 않았다.
wichtig	중요한, 유력한	important, essential 	Es ist wichtig, gesund zu essen.	건강하게 먹는것은 중요하다.
verboten	금지된	prohibited, forbidden, banned	Auf dem Grundstück ist das Rauchen verboten.	이 구역에선 흡연 금지입니다.
verschieden	서로 다른, 상이한, 죽은	different, various	Ich mag verschiedene Arten von Musik.	나는 다양한 종류의 음악을 좋아한다.
ungesund	해로운, 건강하지 않은	unhealthy	Es ist ungesund, viel Zucker zu essen.	설탕을 많이 먹는것은 건강에 좋지 않아.
betrunken	술 취한	drunken	Er ist betrunken, er hat die ganze Nacht gebechert.	그는 술에취해 밤새도록 술을 마셨다.
leer	텅 빈, 내용이 없는, 공허한	empty, vacant, blank	Die Straßen sind heute leer.	거리가 오늘은 텅 비었다.
komfortabel	쾌적한, 편리한	comfortable	Meine Tante hat ein sehr komfortables Wohnzimmer.	이모는 아주 안락한 거실이 있습니다.
frei	자유로운, 솔직한, 무료의	free, available, open	Entschuldigen Sie, ist hier noch frei?	실례합니다, 혹시 여기 자리 비었나요?
zufrieden	만족한, 행복한	satisfied, happy, pleased	Die Teilnehmer waren mit dem Zeitplan des Kongresses zufrieden.	참석자들은 의회의 일정에 만족했다.
wunderbar	놀라운, 매운	wonderful, splendid, fabulous	Wir hatten einen wunderbaren Urlaub.	우리는 멋진 휴일을 보냈다.
traditionell	전통적인	traditional	Mir gefällt traditionelle chinesische Musik.	나는 전통적인 중국 음악을 좋아합니다.
wunderschön	너무나 아름다운	beautiful, wonderful, gorgeous	Die Aussicht war großartig, wunderschön.	전망은 웅장하고 아름다웠다.
beliebt	호평받는, 인기 있는	popular, liked	Der Professor ist bei seinen Studenten sehr beliebt.	교수는 그의 학생들에게 매우 인기가 있습니다.
berühmt	유명한, 이름난	famous, popular	Ein berühmter Schauspieler spielt die Hauptrolle in dem Film.	유명한 배우가 이 영화에서 주연을 담당한다.
exotisch	외국의, 외국산의	exotic	Ich esse gern exotische Früchte wie Papayas und Mangos.	나는 파파야와 망고와 같은 이국적인 과일을 먹는 것을 좋아합니다.
geschlossen	닫힌, 비공개된	concluded, closed	Der Richter erklärte den Fall für geschlossen.	판사는 사건을 종결 시켰습니다.
fröhlich	기쁜, 유쾌한, 번영한	happy, cheerful, bright	Der neue Schüler ist ein sehr fröhliches und gesprächiges Kind.	새로운 학생은 매우 밝고 수다스러운 아이입니다.
gefährlich	위태로운, 위험한, 중대한	dangerous, risky	Achtung! Hier ist es gefährlich!	주의하세요! 여기는 위험합니다!
spannend	긴장감이 넘치는, 흥미진진한	exciting, thrilling	Das Buch ist so spannend, ich kann nicht aufhören zu lesen.	이책은 너무 흥미진진하다, 읽기를 멈출 수가 없다.
schmutzig	더러운, 불결한	dirty, filthy	Nach der Arbeit im Garten war ihre Kleidung schmutzig.	정원에서 일한후, 그녀의 옷은 더러워졌다.
originell	근원의, 독특한, 독창적인	original, inventive	Der neue Roman hat eine originelle Handlung.	새로운 소설은 독창적인 플롯이 있다.
nächste	다음	next	Ich nehme den nächsten Bus, dieser ist voll.	다음 버스 탈게, 지금건 꽉찼다.
schick	세련된, 폼나는	chic, trendy	Mein Freund hat mich in ein schickes neues Restaurant eingeladen.	친구가 새로운 멋진 식당에 나를 초대 했다.
verletzt	다친, 상처입은	injured, hurt	Der Zug entgleiste, doch zum Glück wurde niemand verletzt.	기차가 탈선했지만 다행히 아무도 다치지 않았다.
streng	엄한, 정확한, 단호한	strict, stringent	Unser Lehrer war sehr streng, aber wir haben viel gelernt.	선생님은 매우 엄격했지만 많이 배웠다.
klar	밝은, 깔끔한, 명백한	clear, explicit	Das Wasser ist so klar, dass ich den Meeresgrund sehen kann.	물이 너무 깨끗해서 바닥이 보일 정도이다.
genau	딱 들어맞는, 정확한	precise, exact	Ich weiß die genaue Geburtszeit meines Sohnes.	나는 아들의 정확한 출생시간을 안다.
kaputt	망가진, 고장난	broken	Der Mechaniker reparierte das kaputte Lager.	수리공은 고장난 창고를 수리했습니다.
herzlich	진심의, 간절한	sincere, warm	Ein herzliches Willkommen an alle, die heute bei uns sind!	오늘 우리와 함께하는 모든 분들을 진심으로 환영합니다.
schwanger	임신한	pregnant	Er bot der schwangeren Frau seinen Sitzplatz an.	그는 임산부에게 자리를 양보했다.
regelmäßig	규칙적인	regular	Er ist einer meiner regelmäßiger Kunden.	그는 내 단골 고객 중 하나입니다.
romantisch	낭만적인	romantic	Mein Freund ist sehr romantisch.	내 친구는 매우 낭만적이다.
schlimm	나쁜	bad	Das ist nicht so schlimm.	그렇게 나쁘지 않다.
privat	사적인, 개인적인, 은밀한	private, personal 	Als Privat bin ich nicht dagegen.	사적으로 나는 반대하지 않는다.
voll	풍만한, 가득찬	full, crowded	Das Becken ist voll Wasser.	대야에 물이 가득이다.
verliebt	반한, 연모하는	in love	Dieses Gedicht besagt einfach, dass er verliebt war.	이 시는 단순히 그가 사랑에 빠졌다고 말하고 있다.
chronisch	지속적인, 만성인	chronic	Er leidet an chronischem Geldmangel.	그는 지속적인 돈부족으로 고통받는다.
krank	병든, 허약한	ill, sick	Mein Sohn war gestern krank, aber er fühlt sich heute besser.	어제 아들이 아팠지만, 오늘은 나아졌다.
gesund	건강한, 정상적인	healthy, well	Eine gesunde Ernährung beinhaltet viel Obst und Gemüse.	건강식에는 과일과 채소가 많이 포함되어 있다.
freundlich	다정한, 쾌적한, 마음에 드는	kind, nice, pleasant	Die Lehrerin meines Sohnes ist immer sehr freundlich und geduldig.	내 아들의 선생님은 항상 친절하고 너그럽다.
reflexiv	재귀적인, 반성의	reflexive	Transitive Verben können oft auch reflexiv gebraucht werden.	타동사는 종종 재귀적으로 사용될 수 있습니다.
politisch	정치적인, 정책적인	political	Die politische Krise verursachte Unruhen im Land.	정치적인 위기는 국가의 불안을 초래했다.
schwer	무거운, 어려운, 강한	difficult, heavy, hard	Es gab ein paar schwere Übungen bei den Hausaufgaben.	숙제중에 좀 어려운 연습문제가 있었다.
sparsam	경제적인, 아끼는	economical, sparing, saving	Sie waren diese sparsame Lebensweise gewohnt.	그들은 검소한 생활방식에 익숙했다.
weit	먼, 넓은, 광활한	far, wide, long	Ich möchte irgendwohin weit weg gehen.	나는 어딘가 멀리 가고 싶다.
tief	깊은, 낮은	deep, low	Das Wasser ist tief genug, um darin zu schwimmen.	물은 수영하기에 충분히 깊다.
tot	죽은	dead	Meine Großeltern sind schon lange tot.	조부모님은 오래 전에 죽었다.
engagiert	헌신적인, 바쁜	dedicated, involved	Bono ist emotionaler Künstler, politischer Kopf und engagierter Querdenker.	Bono는 정서적 예술가이자 정치 지도자이자 헌신적 인 사상가입니다.
einig	몇몇의, 약간의, 의견이 같은	some, united, agree	Sie sind sich darüber noch nicht einig.	그들은 그 점에서 아직 의견이 일치하지 않다
erfolgreich	효과있는, 성공적인	successful, fruitful	Das Stück war weltweit sehr erfolgreich.	그 작품은 전 세계적으로 매우 성공적이었습니다.
elektrisch	전기의, 전자적인	electric, electrical	Elektrische Geräte können das Leben einfacher machen.	전기 제품은 삶을 더 쉽게 만듭니다.
böse	나쁜	bad, evil, wicked	Er ist böse Person.	그는 악독하다.
hoch	높은, 고귀한	high, tall	Milch hat einen hohen Gehalt an Kalzium.	우유에는 칼슘 함량이 높습니다.
genial	천재적인	ingenious, brilliant	Ich hatte eine geniale Idee.	나는 훌륭한 아이디어를 가지고 있었다.
international	국제적인, 세계적인	international	Ein international anerkannter Künstler erntete brausenden Beifall.	국제적으로 인정받은 아티스트는 우레와 같은 박수 갈채를 받았다.
geizig	탐내는, 갈망하는	stingy, miserly	Dieser Kaufmann ist so geizig, dass er keinen Pfennig vom Preise nachlässt.	이 장사꾼은 한푼도 깎아 주지 않을 정도로 인색하다.
heiß	더운, 뜨거운	hot	Wir waren schwimmen, weil es ein heißer Tag war.	우리는 더운 날이었기 때문에 수영을 했었다.
heimlich	은밀한, 비밀의	secretly, privately	Das heimliche Flüstern meiner Eltern weckte meine Neugier.	부모님의 비밀스런 속삭임이 나의 호기심을 불러 일으켰습니다.
